0 0.099956 0.0998999 0.0997427 0.0997459 0.0991105
0.05 0.201517 0.278756 0.3446 0.370578 0.356684
0.1 0.293759 0.457228 0.578713 0.619396 0.609199
0.15 0.37048 0.577425 0.710985 0.764403 0.762287
0.2 0.430657 0.661431 0.783205 0.837122 0.841436
0.25 0.477814 0.717179 0.834336 0.880947 0.877649
0.3 0.517413 0.755538 0.861398 0.912681 0.909784
0.35 0.550747 0.787187 0.883739 0.927592 0.930445
0.4 0.579357 0.806487 0.899857 0.941201 0.94831
0.45 0.603064 0.825129 0.908609 0.951607 0.953837
0.5 0.625177 0.8402 0.919009 0.960241 0.960165
0.55 0.644027 0.854423 0.926353 0.962656 0.965781
0.6 0.660819 0.864857 0.933774 0.968132 0.969962
0.65 0.675255 0.874468 0.93925 0.972205 0.97432
0.7 0.688965 0.883069 0.942884 0.975699 0.976849
0.75 0.701529 0.888672 0.946699 0.977713 0.98108
0.8 0.712559 0.895739 0.948723 0.978272 0.982173
0.85 0.72329 0.901401 0.951734 0.981963 0.985667
0.9 0.732864 0.906649 0.956131 0.982687 0.984485
0.95 0.742424 0.912573 0.956058 0.985648 0.986213
1 0.750896 0.915043 0.961649 0.986112 0.985972
1.05 0.759542 0.918564 0.96082 0.987078 0.990064
1.1 0.765645 0.922071 0.96352 0.989257 0.99033
1.15 0.773732 0.925006 0.963767 0.990006 0.990966
1.2 0.779631 0.927821 0.964987 0.990432 0.989632
1.25 0.785681 0.930586 0.96783 0.990013 0.99075
1.3 0.790974 0.933934 0.967948 0.990375 0.991868
1.35 0.796423 0.936707 0.970861 0.990985 0.993659
1.4 0.801541 0.937089 0.970832 0.991881 0.994066
1.45 0.807993 0.93827 0.972808 0.992027 0.992783
1.5 0.811589 0.942656 0.974193 0.992135 0.993113
1.55 0.816599 0.943769 0.972367 0.993494 0.994485
1.6 0.820508 0.945743 0.973399 0.993501 0.993558
1.65 0.823633 0.94743 0.973361 0.993596 0.994689
1.7 0.828579 0.947664 0.974171 0.993952 0.995959
1.75 0.831706 0.950966 0.977109 0.994416 0.995794
1.8 0.836433 0.95088 0.977116 0.99467 0.994206
1.85 0.840009 0.953429 0.9775 0.994695 0.995858
1.9 0.841819 0.954144 0.978942 0.995864 0.996455
1.95 0.84582 0.953451 0.980321 0.995038 0.995515
2 0.848623 0.95572 0.979133 0.995241 0.997281
