0 0.0988858 0.097493 0.1
0.05 0.221351 0.223343 0.230389
0.1 0.319903 0.321922 0.331222
0.15 0.397242 0.399415 0.422389
0.2 0.462939 0.480139 0.496944
0.25 0.519095 0.532618 0.540722
0.3 0.563663 0.556351 0.592444
0.35 0.614178 0.61507 0.638222
0.4 0.641448 0.657799 0.664222
0.45 0.665028 0.692925 0.673944
0.5 0.704011 0.709359 0.732278
0.55 0.727409 0.734039 0.745111
0.6 0.744499 0.761755 0.761889
0.65 0.756616 0.766045 0.778444
0.7 0.771671 0.766295 0.776778
0.75 0.783148 0.789081 0.813389
0.8 0.802173 0.803259 0.8115
0.85 0.801755 0.835014 0.828056
0.9 0.820822 0.821058 0.842
0.95 0.823969 0.833343 0.851611
1 0.838942 0.834791 0.851
1.05 0.849805 0.846936 0.848611
1.1 0.846086 0.866128 0.871056
1.15 0.856393 0.862925 0.876944
1.2 0.861825 0.860279 0.883167
1.25 0.873064 0.880696 0.895222
1.3 0.876435 0.882479 0.887556
1.35 0.883106 0.88351 0.8965
1.4 0.891226 0.872451 0.907611
1.45 0.886797 0.898357 0.914444
1.5 0.888538 0.885292 0.906833
1.55 0.900947 0.910919 0.903944
1.6 0.902075 0.910808 0.907556
1.65 0.905627 0.906072 0.9215
1.7 0.907967 0.910808 0.916611
1.75 0.908301 0.919415 0.931833
1.8 0.905292 0.917187 0.925722
1.85 0.913844 0.926072 0.928778
1.9 0.919401 0.92571 0.922222
1.95 0.919694 0.931699 0.936889
2 0.919889 0.918496 0.932111
