0 0.099946 0.0999501 0.0999525 0.0997151 0.0996866
0.05 0.191254 0.188282 0.195135 0.205266 0.212137
0.1 0.257974 0.258219 0.273822 0.290309 0.293039
0.15 0.312279 0.318674 0.32925 0.336016 0.369231
0.2 0.353719 0.360978 0.388849 0.400878 0.422802
0.25 0.401232 0.403447 0.428689 0.444848 0.45037
0.3 0.432798 0.440712 0.470843 0.49123 0.503571
0.35 0.463366 0.478378 0.509454 0.521244 0.538984
0.4 0.490862 0.495839 0.537472 0.556344 0.571396
0.45 0.51496 0.527365 0.571059 0.577213 0.597873
0.5 0.538032 0.552126 0.596605 0.620465 0.625043
0.55 0.563311 0.576051 0.624359 0.639221 0.641728
0.6 0.579637 0.602347 0.633533 0.645328 0.667464
0.65 0.596768 0.620501 0.653058 0.678466 0.683371
0.7 0.616737 0.636343 0.668742 0.69151 0.690712
0.75 0.630455 0.645201 0.691436 0.696738 0.710323
0.8 0.635819 0.663337 0.706413 0.703571 0.72227
0.85 0.656591 0.664434 0.721052 0.734881 0.739639
0.9 0.662936 0.683908 0.735791 0.741923 0.740826
0.95 0.68162 0.698536 0.746883 0.759217 0.765271
1 0.694272 0.704687 0.759615 0.7616 0.760655
1.05 0.696067 0.723808 0.765539 0.773162 0.78698
1.1 0.704948 0.727914 0.77199 0.793338 0.788063
1.15 0.707808 0.734657 0.788203 0.789872 0.799516
1.2 0.717828 0.739328 0.800489 0.798504 0.812194
1.25 0.733626 0.753355 0.797455 0.806068 0.810902
1.3 0.732749 0.761606 0.805655 0.813514 0.81094
1.35 0.747746 0.772849 0.810275 0.817194 0.829962
1.4 0.752217 0.768018 0.81278 0.821904 0.83924
1.45 0.760087 0.784498 0.834385 0.832004 0.837455
1.5 0.762372 0.785231 0.834753 0.837089 0.852896
1.55 0.76876 0.794625 0.838086 0.84482 0.848765
1.6 0.769704 0.794514 0.838424 0.848903 0.847578
1.65 0.783669 0.802692 0.847279 0.864492 0.839193
1.7 0.787876 0.817317 0.850453 0.857991 0.865679
1.75 0.788557 0.813839 0.852448 0.86491 0.873172
1.8 0.800521 0.818082 0.856904 0.865252 0.874663
1.85 0.80097 0.823103 0.865275 0.865147 0.870788
1.9 0.801782 0.823832 0.868618 0.880109 0.885831
1.95 0.813362 0.824814 0.882274 0.876885 0.88812
2 0.811481 0.835024 0.867828 0.882118 0.881491
