0 0.099435 0.0993228 0.0990991
0.05 0.238836 0.260384 0.271261
0.1 0.334011 0.348284 0.377613
0.15 0.420147 0.430023 0.447387
0.2 0.479345 0.487359 0.492838
0.25 0.509774 0.506343 0.540135
0.3 0.531446 0.53474 0.578243
0.35 0.560102 0.564695 0.574369
0.4 0.588203 0.599955 0.617432
0.45 0.630814 0.601242 0.603964
0.5 0.621921 0.623589 0.658153
0.55 0.66026 0.634831 0.693559
0.6 0.684158 0.657472 0.690766
0.65 0.691559 0.686524 0.673514
0.7 0.696689 0.680339 0.701261
0.75 0.693898 0.682754 0.726667
0.8 0.719831 0.68377 0.738108
0.85 0.72409 0.726907 0.757973
0.9 0.748418 0.701445 0.747117
0.95 0.751412 0.771512 0.742568
1 0.781616 0.728646 0.781216
1.05 0.753808 0.756975 0.79473
1.1 0.77052 0.758713 0.773784
1.15 0.783198 0.763589 0.770766
1.2 0.775175 0.796343 0.783649
1.25 0.784497 0.773296 0.799324
1.3 0.824316 0.786366 0.793333
1.35 0.786723 0.813002 0.834009
1.4 0.79704 0.803837 0.795811
1.45 0.80174 0.830158 0.823604
1.5 0.82209 0.79158 0.799324
1.55 0.818915 0.783995 0.834775
1.6 0.828927 0.80447 0.832432
1.65 0.809774 0.82991 0.842703
1.7 0.828486 0.834244 0.834595
1.75 0.831254 0.835418 0.829459
1.8 0.819062 0.833905 0.847973
1.85 0.82774 0.843567 0.839324
1.9 0.844237 0.837359 0.822703
1.95 0.857243 0.830948 0.847883
2 0.83 0.818172 0.863559
