0 0.0997533 0.0997236 0.099675
0.05 0.226975 0.236743 0.24519
0.1 0.328279 0.313425 0.319783
0.15 0.401052 0.392531 0.404117
0.2 0.451399 0.468141 0.449664
0.25 0.484972 0.51207 0.510303
0.3 0.532909 0.550352 0.558202
0.35 0.563153 0.585046 0.569025
0.4 0.594709 0.596358 0.605265
0.45 0.626183 0.635225 0.619491
0.5 0.653483 0.646862 0.639675
0.55 0.65508 0.683366 0.68273
0.6 0.686075 0.706607 0.7052
0.65 0.698346 0.706298 0.717931
0.7 0.724722 0.751138 0.736847
0.75 0.747116 0.765577 0.747346
0.8 0.73547 0.776775 0.791853
0.85 0.758092 0.784873 0.76026
0.9 0.77006 0.789431 0.79195
0.95 0.78936 0.803192 0.810618
1 0.803483 0.797534 0.78987
1.05 0.776671 0.819366 0.814637
1.1 0.804286 0.831762 0.822795
1.15 0.815554 0.838482 0.83584
1.2 0.818951 0.830585 0.84584
1.25 0.812047 0.850439 0.831788
1.3 0.820127 0.852607 0.852893
1.35 0.830043 0.865415 0.862698
1.4 0.842337 0.853371 0.861008
1.45 0.843413 0.863892 0.861712
1.5 0.851616 0.876965 0.869296
1.55 0.861244 0.869518 0.887551
1.6 0.87424 0.889003 0.869263
1.65 0.857964 0.881474 0.896176
1.7 0.878211 0.904206 0.903283
1.75 0.885094 0.887447 0.893749
1.8 0.869851 0.881035 0.907324
1.85 0.885419 0.894943 0.908418
1.9 0.887886 0.899046 0.897573
1.95 0.88071 0.913913 0.912405
2 0.87881 0.911203 0.917822
