# node id    kappa                theta                r                    x                    y                    z                    name                          
61           16.5235              1.83885              8.98666              135.051254089        70.066521265         67.4667393675        rh_supramarginal_1_1          
62           43.5523              1.85731              7.0483               165.485380117        74.701754386         58.6947368421        rh_inferiorparietal_2_3       
63           23.1328              1.90424              8.31372              131.729559748        80.6264150943        77.1761006289        rh_postcentral_2_4            
64           11.5475              1.91623              9.70329              107.389853138        55.3391188251        57.9439252336        rh_postcentral_1_2            
65           17.4254              1.92005              8.88037              118.42624166         67.3802816901        75.0281690141        rh_postcentral_2_3            
66           63.187               1.92444              6.30403              93.5282823041        91.9916969382        33.7872340426        rh_pallidum                   
67           32.9151              1.93147              7.60836              146.263333333        82.44                73.6286666667        rh_superiorparietal_1_1       
68           30.9964              1.94402              7.72849              153.937354988        75.8851508121        62.5011600928        rh_inferiorparietal_1_1       
69           19.7604              2.01805              8.62886              87.5661861075        60.7824377457        61.1389252949        rh_precentral_1_2             
70           24.8331              2.05398              8.17187              98.5141463415        63.7814634146        67.392195122         rh_precentral_2_3             
71           40.2531              2.12984              7.20585              107.58056266         74.3921568627        79.031543052         rh_precentral_2_4             
72           69.8069              2.17129              6.10476              110.134405303        101.089235301        36.5401988462        rh_thalamusproper             
73           38.3027              2.17131              7.30519              123.371863799        86.4641577061        85.5421146953        rh_precentral_3_5             
74           41.6626              2.17881              7.13702              75.5877616747        67.1481481481        54.0821256039        rh_parsopercularis_1_1        
75           43.8931              2.1806               7.03271              135.156050955        87.9355095541        88.4291401274        rh_postcentral_2_5            
76           38.3737              2.19019              7.30148              97.7126315789        79.2968421053        78.4621052632        rh_caudalmiddlefrontal_1_1    
77           30.5745              2.20617              7.7559               67.4978354978        70.6904761905        66.2337662338        rh_rostralmiddlefrontal_1_2   
78           45.1338              2.20941              6.97697              88.4169642857        81.9366071429        86.8616071429        rh_caudalmiddlefrontal_1_3    
79           29.3903              2.23313              7.8349               85.1083844581        70.5766871166        75.5971370143        rh_caudalmiddlefrontal_1_2    
80           39.5793              2.27276              7.23962              77.6219806763        66.6195652174        52.7258454106        rh_parsopercularis_1_2        
81           25.7901              2.34946              8.09625              60.9578947368        86.5330143541        75.6574162679        rh_rostralmiddlefrontal_1_1   
82           37.2352              2.36088              7.36172              36.1181716834        80.0657748049        41.2954292085        rh_rostralmiddlefrontal_2_6   
83           73.2755              2.36246              6.00778              83.2200151343        98.7410139992        46.4301929625        rh_caudate                    
84           32.6793              2.3667               7.62274              41.9528558477        78.5820489574        53.9211242067        rh_rostralmiddlefrontal_2_4   
85           23.9114              2.41365              8.24752              54.5858788182        76.8282423635        65.7371056585        rh_rostralmiddlefrontal_1_3   
86           30.7917              2.47497              7.74174              66.2366412214        95.18956743          85.5394402036        rh_superiorfrontal_2_4        
87           51.9629              2.48451              6.69517              42.2277777778        99.837962963         68.462962963         rh_superiorfrontal_1_2        
88           36.0371              2.51041              7.42713              59.3496168582        100.767241379        79.7691570881        rh_superiorfrontal_2_3        
89           39.083               2.51821              7.26485              47.1921708185        121.114768683        78.084519573         lh_superiorfrontal_2_3        
90           28.0042              2.56887              7.93152              68.4108241082        119.426814268        84.2054120541        lh_superiorfrontal_3_5        
91           43.5922              2.57318              7.04647              80.6322263223        126.050430504        87.3591635916        lh_superiorfrontal_3_6        
92           34.2908              2.62119              7.52647              83.1699346405        99.324929972         85.5555555556        rh_superiorfrontal_3_5        
93           34.8674              2.64623              7.49312              87.8440860215        118.369892473        83.2129032258        lh_superiorfrontal_4_7        
94           29.1184              2.66563              7.85349              91.5066666667        94.45                89.8866666667        rh_superiorfrontal_4_8        
95           26.2619              2.72912              8.05999              114.548532731        123.607223476        91.6320541761        lh_precentral_1_2             
96           19.0068              2.75254              8.70664              98.7405857741        121.767782427        95.2468619247        lh_superiorfrontal_4_9        
97           20.021               2.78975              8.60266              105.495774648        100.890140845        94.738028169         rh_superiorfrontal_4_7        
98           22.3976              2.795                8.37832              104.408560311        104.095979248        68.6368352789        rh_posteriorcingulate_1_1     
99           24.2806              2.82292              8.21687              103.47746884         116.404602109        86.4745925216        lh_superiorfrontal_4_8        
100          19.9929              2.83183              8.60547              100.570469799        102.88590604         85.2651006711        rh_superiorfrontal_3_6        
101          12.0375              2.86944              9.62018              119.930662558        102.645608629        82.001540832         rh_paracentral_1_2            
102          25.8454              2.88074              8.09197              118.21124031         94.6501937984        91.2519379845        rh_precentral_3_6             
103          30.0463              2.89741              7.79075              129.1168             122.112              90.5216              lh_precentral_1_1             
104          21.5218              2.90492              8.45809              133.931623932        116.32991453         91.4034188034        lh_paracentral_1_1            
105          23.2288              2.92244              8.30544              120.381596752        103.936400541        59.6941813261        rh_posteriorcingulate_1_2     
106          15.7283              2.92989              9.0853               133.078610603        99.9213893967        72.6910420475        rh_paracentral_1_3            
107          19.1035              2.93057              8.69649              128.612028302        118.444575472        77.1379716981        lh_paracentral_1_2            
108          17.5658              2.94759              8.86432              138.311512415        102.93227991         87.5124153499        rh_paracentral_1_1            
109          19.2734              2.95094              8.67877              143.948220065        123.899676375        92.5614886731        lh_postcentral_1_1            
110          21.4998              2.99102              8.46014              146.640893471        101.392611684        73.2878006873        rh_precuneus_2_5              
111          18.6382              3.0077               8.7458               143.333694475        120.085590466        65.1776814735        lh_precuneus_1_2              
112          30.0771              3.01968              7.7887               156.25250501         118.358717435        73.9709418838        lh_precuneus_1_1              
113          20.2262              3.06668              8.58227              149.737967914        102.142602496        43.9286987522        rh_precuneus_1_2              
114          24.5201              3.11242              8.19724              73.3109004739        103.730805687        65.2549763033        rh_caudalanteriorcingulate_1_1
115          32.101               3.11785              7.65845              108.880715706        115.463220676        61.3737574553        lh_posteriorcingulate_1_1     
116          23.7261              3.12805              8.26308              65.3876765083        118.250320924        70.863928113         lh_superiorfrontal_2_4        
117          28.9269              3.16509              7.86668              77.3353057199        115.660749507        63.4240631164        lh_caudalanteriorcingulate_1_1
118          26.3028              3.18516              8.05688              46.4539877301        119.625766871        59.4867075665        lh_superiorfrontal_1_2        
119          19.1241              3.1923               8.69433              120.777580071        117.830960854        65.615658363         lh_posteriorcingulate_1_2     
120          33.7493              3.21712              7.55831              78.7635239567        117.984544049        29.9026275116        lh_accumbensarea              
121          20.7471              3.22345              8.53142              55.2956656347        116.904024768        42.0959752322        lh_rostralanteriorcingulate_1_1
122          22.5835              3.26358              8.36179              51.6321353066        117.209302326        25.5570824524        lh_medialorbitofrontal_1_2    
123          16.9766              3.29476              8.93255              66.8                 102.25               24.3538461538        rh_medialorbitofrontal_2_3    
124          38.7087              3.29784              7.2841               78.4309799789        102.874604847        30.7681770285        rh_accumbensarea              
125          25.211               3.3268               8.14167              51.5211459754        104.487039563        23.5334242838        rh_medialorbitofrontal_2_2    
126          22.3692              3.33546              8.38086              53.6827586207        103.226206897        43.9862068966        rh_rostralanteriorcingulate_1_1
127          29.5221              3.34447              7.82595              37.806372549         101.12745098         37.0833333333        rh_medialorbitofrontal_1_1    
128          25.1525              3.37586              8.14632              37.2760814249        119.139949109        40.8905852417        lh_medialorbitofrontal_1_1    
129          22.6463              3.39837              8.35624              24.5986394558        119.870748299        43.1462585034        lh_frontalpole_1_1            
130          50.3994              3.4106               6.75627              35.6393146979        99.042380523         53.303877367         rh_superiorfrontal_1_1        
131          37.6456              3.44177              7.3398               30.4171597633        121.105029586        59.6597633136        lh_superiorfrontal_1_1        
132          20.7437              3.44554              8.53174              25.1647058824        99.7117647059        41.6235294118        rh_frontalpole_1_1            
133          71.799               3.55253              6.04849              84.1931170108        121.08574238         45.7803343166        lh_caudate                    
134          48.3175              3.65515              6.84064              37.5816572808        142.96460177         48.4183427192        lh_rostralmiddlefrontal_3_5   
135          49.5761              3.67964              6.78921              42.5267284391        136.782608696        64.3941553813        lh_rostralmiddlefrontal_2_4   
136          25.0652              3.68332              8.15327              57.4476885645        144.429845904        63.6244931062        lh_rostralmiddlefrontal_2_3   
137          45.2786              3.68692              6.97056              77.3573667712        151.445141066        70.4984326019        lh_rostralmiddlefrontal_1_1   
