# node id    kappa                theta                r                    x                    y                    z                    name                          
0            13.4288              0.13023              6.90781              53.7281420765        103.226775956        44.056010929         rh_rostralanteriorcingulate   
1            10.735               0.139323             7.35559              73.1880424301        103.726133076        65.2825458052        rh_caudalanteriorcingulate    
2            28.0627              0.247212             5.43373              47.4180418042        102.649614961        29.8091309131        rh_medialorbitofrontal        
3            14.0339              0.25765              6.81966              55.3364341085        116.888372093        42.1023255814        lh_rostralanteriorcingulate   
4            18.9556              0.299693             6.21842              115.166044776        116.70988806         63.5652985075        lh_posteriorcingulate         
5            15.3004              0.334912             6.64686              77.4098360656        115.483606557        63.4118852459        lh_caudalanteriorcingulate    
6            47.0368              0.424808             4.40075              69.0597443256        120.066527524        77.7484998696        lh_superiorfrontal            
7            18.1696              0.461762             6.30311              24.6101694915        119.871186441        43.1118644068        lh_frontalpole                
8            26.4189              0.49391              5.55446              45.0931961121        118.121783877        32.4922813036        lh_medialorbitofrontal        
9            15.8945              0.538151             6.57067              25.1698113208        99.641509434         41.4528301887        rh_frontalpole                
10           37.8158              0.738723             4.83716              84.1931170108        121.08574238         45.7803343166        lh_caudate                    
11           28.9965              0.739325             5.36826              78.7635239567        117.984544049        29.9026275116        lh_accumbensarea              
12           56.7881              0.958042             4.02396              52.6724441435        140.654705484        62.6050101557        lh_rostralmiddlefrontal       
13           40.2937              1.15097              4.71023              108.040370977        143.974904528        74.2544098927        lh_precentral                 
14           23.8069              1.20066              5.76266              121.734104046        148.759537572        72.3439306358        lh_postcentral                
15           33.7171              1.20811              5.06661              111.078108703        120.867307915        36.3526480473        lh_thalamusproper             
16           24.5616              1.22328              5.70025              94.4045037531        138.749791493        81.630942452         lh_caudalmiddlefrontal        
17           12.4502              1.44465              7.05915              135.386853209        155.803464357        61.2818121252        lh_supramarginal              
18           9.88593              1.4694               7.52039              131.413520632        160.812993854        33.02809482          lh_bankssts                   
19           16.8399              1.48404              6.45512              75.2673644148        154.163177926        53.4828734539        lh_parsopercularis            
20           14.5453              1.52672              6.74807              161.228645729        149.840168034        46.2172434487        lh_inferiorparietal           
21           12.9934              1.61364              6.97372              56.5097357441        151.429763561        49.8588317107        lh_parstriangularis           
22           16.2151              1.68552              6.53073              52.3044776119        153.695522388        34.1537313433        lh_parsorbitalis              
23           24.311               1.73787              5.72076              93.7293536804        142.27513465         39.7010771993        lh_insula                     
24           7.41262              1.818                8.09625              111.262867647        150.819852941        37.4797794118        lh_transversetemporal         
25           32.0896              2.01762              5.16555              133.918758256        142.827278732        10.5822324967        lh_fusiform                   
26           41.0178              2.07628              4.6746               109.225824964        163.096700143        18.2398852224        lh_middletemporal             
