# node id    kappa                theta                r                    x                    y                    z                    name                          
0            33.3062              0.139707             6.06412              180.412761152        103.809147374        32.5544889893        rh_cuneus_1                   
1            54.0425              0.207259             5.09607              34.6733833177        138.980787254        45.9058106842        lh_rostralmiddlefrontal_3     
2            52.2425              0.275467             5.16382              112.467624521        86.8272030651        20.1478927203        rh_hyppocampus                
3            57.4535              0.2835               4.97366              178.302513847        93.8376651044        47.9441840648        rh_superiorparietal_3         
4            42.2182              0.287302             5.58991              161.819188192        120.606642066        45.6782287823        lh_precuneus_2                
5            58.6451              0.302801             4.9326               45.1395184136        130.164305949        30.854815864         lh_lateralorbitofrontal_2     
6            45.6865              0.307079             5.43201              149.34215623         94.8450613299        22.8921885087        rh_lingual_2                  
7            34.8185              0.462648             5.97531              156.60515873         99.9340277778        42.7604166667        rh_precuneus_1                
8            30.7197              0.546684             6.2258               157.694169417        103.202053539        65.6237623762        rh_precuneus_2                
9            13.9342              0.570974             7.80692              90.2026315789        85.4815789474        7.70789473684        rh_entorhinal_1               
10           26.1183              0.587376             6.55034              138.8165038          102.892508143        43.0532030402        rh_isthmuscingulate_1         
11           15.9186              0.593594             7.54064              120.077448747        88.4920273349        15.3815489749        rh_parahippocampal_1          
12           25.1764              0.755376             6.6238               139.192685103        118.065120428        45.1659232828        lh_isthmuscingulate_1         
13           26.1166              0.759674             6.55047              149.730988101        119.17123642         69.5550957062        lh_precuneus_1                
14           20.9111              0.907756             6.99505              77.3793103448        115.490872211        63.3793103448        lh_caudalanteriorcingulate_1  
15           23.597               0.917097             6.75337              115.076849183        116.637848223        63.5244956772        lh_posteriorcingulate_1       
16           18.1245              0.936202             7.28108              24.5567375887        119.758865248        42.9716312057        lh_frontalpole_1              
17           35.8279              0.936932             5.91816              39.8134373125        120.230353929        59.5104979004        lh_superiorfrontal_1          
18           28.3636              0.944506             6.3854               45.1088825215        118.114613181        32.4544412607        lh_medialorbitofrontal_1      
19           16.9746              1.03845              7.41218              55.3260869565        116.892857143        42.0822981366        lh_rostralanteriorcingulate_1 
20           16.4766              1.09081              7.47173              53.6984785615        103.236514523        43.9778699862        rh_rostralanteriorcingulate_1 
21           17.464               1.10002              7.35533              73.1108968177        103.759884282        65.2140790743        rh_caudalanteriorcingulate_1  
22           25.7573              1.10216              6.57818              55.546653144         103.935091278        23.7099391481        rh_medialorbitofrontal_2      
23           23.1908              1.13791              6.7881               37.6561743341        101.128329298        37.1634382567        rh_medialorbitofrontal_1      
24           33.2064              1.17931              6.07012              78.4309799789        102.874604847        30.7681770285        rh_accumbensarea              
25           30.8118              1.36957              6.21982              90.3761061947        88.9277286136        18.3628318584        rh_amygdala                   
26           16.8492              1.3846               7.427                70.9344660194        79.9296116505        7.36893203883        rh_temporalpole_1             
27           29.411               1.48436              6.31287              115.456612807        78.0011968881        10.4410532615        rh_fusiform_2                 
28           34.1726              1.57044              6.01276              170.450167973        101.346584546        12.7082866741        rh_lingual_1                  
29           29.3081              1.58771              6.31989              45.9069045772        87.4522885958        31.7866563227        rh_lateralorbitofrontal_2     
30           41.0094              1.61816              5.64801              177.373287671        101.600684932        23.2253424658        rh_pericalcarine_1            
31           31.8599              1.66284              6.15292              63.6117216117        84.9428571429        28.2622710623        rh_lateralorbitofrontal_1     
32           67.6434              1.71552              4.64711              101.185478073        67.1243709561        7.71171818835        rh_inferiortemporal_1         
33           17.0976              1.73279              7.39773              25.1474358974        99.641025641         41.5769230769        rh_frontalpole_1              
34           49.0435              1.73565              5.2902               38.8888888889        99.4234972678        60.7723132969        rh_superiorfrontal_1          
35           60.6823              1.79675              4.86431              95.9681657403        58.2738756948        13.186457807         rh_middletemporal_2           
36           20.4962              1.8625               7.03513              177.855864811        84.2102385686        11.6133200795        rh_lateraloccipital_2         
37           31.6186              1.93159              6.16812              85.431503335         63.5305284761        22.8681375064        rh_superiortemporal_2         
38           27.2443              1.95816              6.46593              186.801679587        89.5387596899        20.6679586563        rh_lateraloccipital_1         
39           11.0617              1.96016              8.26863              158.274211099        69.0914036997        20.6213275299        rh_lateraloccipital_3         
40           15.3586              1.98194              7.61227              112.139211137        69.7958236659        37.6821345708        rh_transversetemporal_1       
41           20.7827              1.99203              7.00737              154.817510549        81.3022151899        12.6397679325        rh_fusiform_1                 
42           30.9566              2.06763              6.21044              113.396106644        58.0317393144        34.7388912399        rh_superiortemporal_1         
43           29.906               2.07911              6.27949              48.5663824604        67.8197320341        33.9829476248        rh_parsorbitalis_1            
